run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,sdk_version,notes
2025-11-08,rigetti,Ankaa-3,01,5,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/9ed7a533-93ed-4d0d-84d1-80721ed23db8,2025-11-08T01:03:43.725Z,2025-11-08T01:03:44.853Z,,
2025-11-08,rigetti,Ankaa-3,01,1,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/9f96b37b-fd53-4e2f-bd48-e5bf4b9eed32,2025-11-08T01:03:45.031Z,2025-11-08T01:03:45.652Z,,
2025-11-08,rigetti,Ankaa-3,11,2,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a1e86993-f48d-4661-a12f-3f72d20cd21a,2025-11-08T01:03:35.416Z,2025-11-08T01:03:35.993Z,,
2025-11-08,rigetti,Ankaa-3,01,1,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a378e07a-c747-4723-8ed3-0bf4b9ed937c,2025-11-08T01:03:43.930Z,2025-11-08T01:03:44.868Z,,
2025-11-08,rigetti,Ankaa-3,11,4,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a379081c-2a4d-43e4-afe4-56ae4f7f2e4c,2025-11-08T01:03:35.651Z,2025-11-08T01:03:36.230Z,,
2025-11-08,rigetti,Ankaa-3,00,2,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a419759c-d2db-4441-83d2-8e04e588acb4,2025-11-08T00:56:01.282Z,2025-11-08T00:56:01.869Z,,
2025-11-08,rigetti,Ankaa-3,00,4,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a4afc1df-7095-4b42-bcbf-6e09ef4107cc,2025-11-08T00:55:53.244Z,2025-11-08T00:55:53.825Z,,
2025-11-08,rigetti,Ankaa-3,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a52f2bb4-4455-4468-831d-a1075135f01c,2025-11-08T00:55:49.682Z,2025-11-08T00:55:50.269Z,,
2025-11-08,rigetti,Ankaa-3,10,2,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a57f7a16-9aed-407f-ac55-a487d05478d3,2025-11-08T01:03:33.718Z,2025-11-08T01:03:34.881Z,,
2025-11-08,rigetti,Ankaa-3,01,3,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-1:835581428919:quantum-task/a667d75a-fc78-4bd1-acf4-52f31c01a22f,2025-11-08T01:03:42.220Z,2025-11-08T01:03:42.824Z,,
