run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,qpu_execution_sec,sdk_version,notes
2024-02-16,ionq,Harmony,11,4,1000,"{""00"": 17, ""10"": 9, ""01"": 943, ""11"": 31}",0.943,arn:aws:braket:us-east-1:835581428919:quantum-task/c5e99208-c811-4579-ac30-1875adfca054,2024-02-16T19:57:40.711Z,2024-04-11T05:00:05.252Z,,,
2024-02-16,ionq,Harmony,10,1,1000,"{""00"": 1, ""10"": 11, ""01"": 9, ""11"": 979}",0.979,arn:aws:braket:us-east-1:835581428919:quantum-task/c5fae02e-8131-483f-8964-f50c9dee88be,2024-02-16T18:57:01.432Z,2024-04-04T19:15:40.825Z,,,
2024-02-16,ionq,Harmony,11,3,1000,"{""00"": 10, ""10"": 16, ""01"": 16, ""11"": 958}",0.958,arn:aws:braket:us-east-1:835581428919:quantum-task/c5fd376c-43b8-4196-b2ca-8c41a2481b36,2024-02-16T18:57:17.722Z,2024-04-05T02:22:31.682Z,,,
2024-02-16,ionq,Harmony,11,2,1000,"{""00"": 9, ""10"": 976, ""01"": 9, ""11"": 6}",0.976,arn:aws:braket:us-east-1:835581428919:quantum-task/c601c667-d1d8-4f07-9f56-60f504aec615,2024-02-16T19:34:39.339Z,2024-04-06T01:16:17.279Z,,,
2024-02-16,ionq,Harmony,10,3,1000,"{""00"": 27, ""10"": 18, ""01"": 944, ""11"": 11}",0.944,arn:aws:braket:us-east-1:835581428919:quantum-task/c608e489-c07e-41f3-a9a0-f3cd5e58c876,2024-02-16T19:32:37.320Z,2024-04-05T14:07:08.429Z,,,
2024-02-16,ionq,Harmony,10,1,1000,"{""00"": 2, ""10"": 13, ""01"": 11, ""11"": 974}",0.974,arn:aws:braket:us-east-1:835581428919:quantum-task/c62ce9c4-b82f-4e81-815d-03a1dc22437e,2024-02-16T18:57:40.195Z,2024-04-05T07:57:45.233Z,,,
2024-02-16,ionq,Harmony,00,4,1000,"{""00"": 921, ""10"": 52, ""01"": 16, ""11"": 11}",0.921,arn:aws:braket:us-east-1:835581428919:quantum-task/c63f8f0b-dc90-496c-9bdc-b94802957420,2024-02-16T19:34:16.162Z,2024-04-05T23:57:49.792Z,,,
2024-02-16,ionq,Harmony,00,2,1000,"{""00"": 980, ""10"": 11, ""01"": 4, ""11"": 5}",0.98,arn:aws:braket:us-east-1:835581428919:quantum-task/c642e246-fdd2-47c3-af88-68e79b34a14d,2024-02-16T18:56:41.766Z,2024-04-04T15:33:34.194Z,,,
2024-02-16,ionq,Harmony,10,2,1000,"{""00"": 8, ""10"": 10, ""01"": 971, ""11"": 11}",0.971,arn:aws:braket:us-east-1:835581428919:quantum-task/c6645d66-2d52-440a-ac46-debea2a5f2cb,2024-02-16T19:34:07.861Z,2024-04-05T22:36:07.234Z,,,
2024-02-16,ionq,Harmony,01,4,1000,"{""00"": 26, ""10"": 952, ""01"": 9, ""11"": 13}",0.952,arn:aws:braket:us-east-1:835581428919:quantum-task/c666de1b-5e99-46e4-8c1a-9d577e794b15,2024-02-16T18:54:45.924Z,2024-04-03T23:56:43.775Z,,,
2024-02-16,ionq,Harmony,01,6,1000,"{""00"": 20, ""10"": 20, ""01"": 943, ""11"": 17}",0.943,arn:aws:braket:us-east-1:835581428919:quantum-task/c6673aa1-dc70-4e22-b715-f5b1801c057e,2024-02-16T18:57:38.398Z,2024-04-05T07:56:00.264Z,,,
2024-02-16,ionq,Harmony,00,1,1000,"{""00"": 986, ""10"": 2, ""01"": 11, ""11"": 1}",0.986,arn:aws:braket:us-east-1:835581428919:quantum-task/c676a3d9-6879-4789-8693-9f49a89cae19,2024-02-16T19:34:57.345Z,2024-04-06T08:56:26.117Z,,,
2024-02-16,ionq,Harmony,01,2,1000,"{""00"": 8, ""10"": 8, ""01"": 18, ""11"": 966}",0.966,arn:aws:braket:us-east-1:835581428919:quantum-task/c68d2e75-364f-4f12-a0bb-99636d71ffc5,2024-02-16T18:54:39.170Z,2024-04-03T20:04:03.495Z,,,
2024-02-16,ionq,Harmony,00,1,1000,"{""00"": 986, ""10"": 4, ""01"": 10}",0.986,arn:aws:braket:us-east-1:835581428919:quantum-task/c6bc5bcf-09f1-4175-b3a5-e27b73efc73a,2024-02-16T19:57:05.108Z,2024-04-11T01:02:49.967Z,,,
2024-02-16,ionq,Harmony,00,1,1000,"{""00"": 982, ""10"": 2, ""01"": 6, ""11"": 10}",0.982,arn:aws:braket:us-east-1:835581428919:quantum-task/c6cff0c2-fcc7-423d-8d0d-8cd3d9162f80,2024-02-16T18:55:38.699Z,2024-04-04T09:07:46.320Z,,,
2024-02-16,ionq,Harmony,01,1,1000,"{""00"": 17, ""10"": 1, ""01"": 978, ""11"": 4}",0.978,arn:aws:braket:us-east-1:835581428919:quantum-task/c6f08c18-1b06-4f69-8853-f449a80e18cb,2024-02-16T18:57:52.830Z,2024-04-05T12:58:41.178Z,,,
2024-02-16,ionq,Harmony,10,6,1000,"{""00"": 24, ""10"": 928, ""01"": 32, ""11"": 16}",0.928,arn:aws:braket:us-east-1:835581428919:quantum-task/c6f74f80-ebf6-4ab6-9aa3-293d63236c1d,2024-02-16T19:34:28.360Z,2024-04-06T01:12:06.584Z,,,
2024-02-16,ionq,Harmony,11,1,1000,"{""00"": 7, ""10"": 984, ""01"": 1, ""11"": 8}",0.984,arn:aws:braket:us-east-1:835581428919:quantum-task/c702f82f-d5d4-467f-9e7a-4d54067c2064,2024-02-16T18:55:36.852Z,2024-04-04T09:02:11.872Z,,,
